Date,Open,High,Low,Close,Volume,Value
2017-09-25 12:00:00,4201000.0,4244000.0,4191000.0,4202000.0,98.2104062,414265098.2602
2017-09-25 13:00:00,4222000.0,4235000.0,4208000.0,4235000.0,7.6564903,32303581.2877
2017-09-25 17:00:00,4235000.0,4235000.0,4235000.0,4235000.0,3e-05,127.05
2017-09-25 19:00:00,4213000.0,4213000.0,4187000.0,4204000.0,0.91428644,3832582.27435
2017-09-25 20:00:00,4204000.0,4204000.0,4175000.0,4191000.0,2.19738534,9211909.12099
2017-09-25 21:00:00,4191000.0,4218000.0,4183000.0,4211000.0,1.57230936,6610719.78916
2017-09-25 22:00:00,4211000.0,4227000.0,4194000.0,4196000.0,1.08481859,4577409.17347
2017-09-25 23:00:00,4202000.0,4298000.0,4196000.0,4291000.0,6.7939587,28925009.93689
2017-09-26 00:00:00,4297000.0,4304000.0,4228000.0,4301000.0,2.01966826,8668260.64638
2017-09-26 01:00:00,4302000.0,4332000.0,4293000.0,4305000.0,6.7685931,29131718.67208
2017-09-26 02:00:00,4303000.0,4314000.0,4296000.0,4304000.0,2.1167204,9110727.3732
2017-09-26 03:00:00,4304000.0,4315000.0,4287000.0,4313000.0,1.09358113,4706049.2084
2017-09-26 04:00:00,4308000.0,4323000.0,4307000.0,4320000.0,0.15938783,687911.22196
2017-09-26 05:00:00,4320000.0,4333000.0,4316000.0,4322000.0,0.17825051,770596.30273
2017-09-26 06:00:00,4322000.0,4330000.0,4314000.0,4317000.0,0.45196136,1953394.89514
2017-09-26 07:00:00,4320000.0,4332000.0,4303000.0,4305000.0,0.51839888,2239184.59145
2017-09-26 08:00:00,4305000.0,4322000.0,4298000.0,4322000.0,0.74850859,3220334.0123
2017-09-26 09:00:00,4317000.0,4336000.0,4314000.0,4334000.0,0.18235706,789146.2421
2017-09-26 10:00:00,4334000.0,4356000.0,4327000.0,4337000.0,0.83865175,3647906.0075
2017-09-26 11:00:00,4342000.0,4382000.0,4342000.0,4379000.0,1.27543103,5555179.74333
2017-09-26 12:00:00,4380000.0,4380000.0,4330000.0,4333000.0,1.1601994,5049426.21303
2017-09-26 13:00:00,4333000.0,4351000.0,4321000.0,4346000.0,0.69295482,3002899.29316
2017-09-26 14:00:00,4346000.0,4352000.0,4311000.0,4324000.0,0.82998661,3591884.58436
2017-09-26 15:00:00,4318000.0,4349000.0,4318000.0,4345000.0,0.42937077,1858043.94662
2017-09-26 16:00:00,4345000.0,4369000.0,4333000.0,4367000.0,0.28476741,1238569.07788
2017-09-26 17:00:00,4366000.0,4371000.0,4345000.0,4369000.0,0.46023178,2005745.73783
2017-09-26 18:00:00,4369000.0,4372000.0,4351000.0,4363000.0,0.448384,1956749.88
2017-09-26 19:00:00,4367000.0,4392000.0,4361000.0,4389000.0,1.18298589,5176463.24601
2017-09-26 20:00:00,4380000.0,4400000.0,4380000.0,4396000.0,1.22815308,5391161.93113
2017-09-26 21:00:00,4397000.0,4418000.0,4376000.0,4389000.0,2.73305491,12008766.16903
2017-09-26 22:00:00,4385000.0,4400000.0,4319000.0,4373000.0,1.40132314,6108841.43795
2017-09-26 23:00:00,4377000.0,4388000.0,4370000.0,4380000.0,1.60088533,7014007.79774
2017-09-27 00:00:00,4377000.0,4382000.0,4357000.0,4371000.0,1.51807848,6634028.2779
2017-09-27 01:00:00,4361000.0,4379000.0,4348000.0,4362000.0,0.82914297,3619118.55344
2017-09-27 02:00:00,4363000.0,4379000.0,4357000.0,4377000.0,0.32822348,1433872.70851
2017-09-27 03:00:00,4373000.0,4376000.0,4355000.0,4370000.0,0.39276583,1714428.05095
2017-09-27 04:00:00,4364000.0,4381000.0,4359000.0,4366000.0,0.73584535,3217738.20582
2017-09-27 05:00:00,4367000.0,4376000.0,4346000.0,4358000.0,0.31739472,1384397.73159
2017-09-27 06:00:00,4362000.0,4390000.0,4360000.0,4377000.0,1.88264703,8239958.52559
2017-09-27 07:00:00,4377000.0,4377000.0,4354000.0,4356000.0,0.7372548,3216329.06178
2017-09-27 08:00:00,4356000.0,4360000.0,4321000.0,4321000.0,1.29825005,5652577.3638
2017-09-27 09:00:00,4322000.0,4363000.0,4318000.0,4351000.0,1.73214446,7497299.682
2017-09-27 10:00:00,4351000.0,4366000.0,4348000.0,4350000.0,0.27852475,1213255.67269
