Date,Open,High,Low,Close,Volume,Value
2022-01-23 06:00:00,43557000.0,44052000.0,43373000.0,43715000.0,117.34294282,5130580219.15754
2022-01-23 07:00:00,43715000.0,43753000.0,43067000.0,43292000.0,102.95382968,4469798756.70112
2022-01-23 08:00:00,43292000.0,43618000.0,43131000.0,43375000.0,149.64646795,6488871198.05038
2022-01-23 09:00:00,43376000.0,43942000.0,43300000.0,43897000.0,344.34453965,15029951014.97447
2022-01-23 10:00:00,43900000.0,44022000.0,43761000.0,43848000.0,358.55546734,15735060539.89636
2022-01-23 11:00:00,43846000.0,43848000.0,43029000.0,43059000.0,348.21046526,15136518639.93674
2022-01-23 12:00:00,43046000.0,43441000.0,43029000.0,43316000.0,229.88309794,9929281152.05499
2022-01-23 13:00:00,43323000.0,43540000.0,43178000.0,43521000.0,148.07651729,6425918288.13698
2022-01-23 14:00:00,43521000.0,43780000.0,43205000.0,43712000.0,240.49986803,10453282041.52231
2022-01-23 15:00:00,43712000.0,43800000.0,43300000.0,43362000.0,165.12674879,7182442145.77644
2022-01-23 16:00:00,43388000.0,43934000.0,43362000.0,43730000.0,258.96338477,11318700822.77566
2022-01-23 17:00:00,43724000.0,44080000.0,43570000.0,43982000.0,268.27867715,11763716735.7805
2022-01-23 18:00:00,43982000.0,44300000.0,43931000.0,44018000.0,759.62368196,33547302242.19427
2022-01-23 19:00:00,44018000.0,44109000.0,43730000.0,44056000.0,207.9078276,9136266793.4981
2022-01-23 20:00:00,44056000.0,44056000.0,43721000.0,43820000.0,141.25421493,6196855175.12822
2022-01-23 21:00:00,43820000.0,44053000.0,43678000.0,44041000.0,160.97924033,7058976833.34988
2022-01-23 22:00:00,44041000.0,44224000.0,43929000.0,44191000.0,178.79095677,7875356477.69094
2022-01-23 23:00:00,44197000.0,44224000.0,43270000.0,43391000.0,416.37058526,18160700469.19296
2022-01-24 00:00:00,43385000.0,43391000.0,43065000.0,43320000.0,181.56791154,7854166501.4949
2022-01-24 01:00:00,43320000.0,43472000.0,43250000.0,43288000.0,161.66904295,7006735465.01474
2022-01-24 02:00:00,43288000.0,43400000.0,43250000.0,43353000.0,75.71143446,3282942947.42249
2022-01-24 03:00:00,43353000.0,43400000.0,42912000.0,42952000.0,169.41063879,7299396724.14663
2022-01-24 04:00:00,42952000.0,43200000.0,42725000.0,42910000.0,174.18769919,7477865504.24241
2022-01-24 05:00:00,42895000.0,43500000.0,42770000.0,43403000.0,135.14259016,5841975671.61899
2022-01-24 06:00:00,43495000.0,43601000.0,43301000.0,43425000.0,244.50804758,10624321993.17535
2022-01-24 07:00:00,43425000.0,43548000.0,43298000.0,43545000.0,258.65188954,11224646276.90759
2022-01-24 08:00:00,43545000.0,44500000.0,43439000.0,44253000.0,537.49420159,23727429926.99968
2022-01-24 09:00:00,44255000.0,44274000.0,43798000.0,43889000.0,231.05387283,10165833013.2523
2022-01-24 10:00:00,43889000.0,44102000.0,43686000.0,43712000.0,179.62948977,7876305714.93414
2022-01-24 11:00:00,43711000.0,43765000.0,43017000.0,43078000.0,283.34702503,12297342430.11172
2022-01-24 12:00:00,43078000.0,43272000.0,43000000.0,43250000.0,225.79268273,9741016369.71292
2022-01-24 13:00:00,43250000.0,43399000.0,42924000.0,42968000.0,277.96388646,12001533506.40401
2022-01-24 14:00:00,42965000.0,43170000.0,42805000.0,43120000.0,271.26524325,11655295403.854
2022-01-24 15:00:00,43134000.0,43322000.0,42958000.0,43250000.0,164.52779605,7101215996.53354
2022-01-24 16:00:00,43250000.0,43333000.0,42813000.0,42832000.0,259.53912456,11183687078.77786
2022-01-24 17:00:00,42832000.0,43577000.0,42803000.0,43002000.0,282.72512671,12185696669.45964
2022-01-24 18:00:00,43002000.0,43150000.0,42302000.0,42407000.0,563.29776147,23995912291.07112
2022-01-24 19:00:00,42399000.0,42506000.0,41170000.0,41182000.0,1361.21187453,56679255820.71435
2022-01-24 20:00:00,41181000.0,41997000.0,40933000.0,41669000.0,1148.00254741,47681687648.69154
2022-01-24 21:00:00,41669000.0,41871000.0,40939000.0,40976000.0,575.91438156,23828067022.39378
2022-01-24 22:00:00,40976000.0,41760000.0,40871000.0,41305000.0,617.97523964,25543421779.53552
2022-01-24 23:00:00,41273000.0,41972000.0,41100000.0,41400000.0,614.56985488,25492337863.01421
2022-01-25 00:00:00,41429000.0,42210000.0,41088000.0,42053000.0,559.81287764,23366893708.07403
2022-01-25 01:00:00,42059000.0,42390000.0,41700000.0,42252000.0,415.3038193,17438877759.53199
2022-01-25 02:00:00,42280000.0,43500000.0,42031000.0,43297000.0,513.56284044,22040980526.03912
2022-01-25 03:00:00,43317000.0,44590000.0,43060000.0,44256000.0,639.61337857,28119356926.81262
2022-01-25 04:00:00,44256000.0,44420000.0,43600000.0,44145000.0,243.59839884,10701292136.51876
2022-01-25 05:00:00,44145000.0,45600000.0,43955000.0,45304000.0,570.14417258,25556928358.61202
2022-01-25 06:00:00,45290000.0,45304000.0,44813000.0,44907000.0,414.26552358,18668233211.6406
2022-01-25 07:00:00,44900000.0,44946000.0,44306000.0,44483000.0,302.65882793,13509236084.08909
2022-01-25 08:00:00,44483000.0,44935000.0,44444000.0,44731000.0,268.95683002,12032319853.03698
2022-01-25 09:00:00,44764000.0,44797000.0,43835000.0,43835000.0,534.12249762,23632964109.43766
2022-01-25 10:00:00,43835000.0,44087000.0,43787000.0,44041000.0,326.55682633,14356400204.71489
2022-01-25 11:00:00,44015000.0,44329000.0,43971000.0,44309000.0,234.27916253,10343284392.30449
2022-01-25 12:00:00,44310000.0,44500000.0,44215000.0,44497000.0,193.286036,8572495351.76724
2022-01-25 13:00:00,44497000.0,44599000.0,43648000.0,43741000.0,269.227032,11874841489.53111
