Date,Price,Returns
2015-04-15,170000.0,-0.005847953216374324
2015-04-16,169000.0,-0.00588235294117645
2015-04-17,170000.0,0.00591715976331364
2015-04-20,174500.0,0.026470588235294024
2015-04-21,171000.0,-0.02005730659025784
2015-04-22,170000.0,-0.005847953216374324
2015-04-23,175500.0,0.032352941176470695
2015-04-24,177500.0,0.01139601139601143
2015-04-27,176000.0,-0.008450704225352101
2015-04-28,172500.0,-0.019886363636363646
2015-04-29,171000.0,-0.008695652173912993
2015-04-30,169000.0,-0.011695906432748537
2015-05-04,172000.0,0.01775147928994092
2015-05-06,171500.0,-0.0029069767441860517
2015-05-07,173000.0,0.008746355685131268
2015-05-08,173000.0,0.0
2015-05-11,169500.0,-0.020231213872832332
2015-05-12,169000.0,-0.002949852507374673
2015-05-13,166000.0,-0.017751479289940808
2015-05-14,164000.0,-0.012048192771084376
2015-05-15,163500.0,-0.0030487804878048808
2015-05-18,162500.0,-0.006116207951070374
2015-05-19,162500.0,0.0
2015-05-20,162500.0,0.0
2015-05-21,159500.0,-0.018461538461538418
2015-05-22,162500.0,0.018808777429467183
2015-05-26,160000.0,-0.01538461538461533
2015-05-27,157000.0,-0.018750000000000044
2015-05-28,156000.0,-0.006369426751592355
2015-05-29,158000.0,0.012820512820512775
2015-06-01,154500.0,-0.022151898734177222
2015-06-02,138500.0,-0.1035598705501618
2015-06-03,135500.0,-0.02166064981949456
2015-06-04,139000.0,0.02583025830258312
2015-06-05,137500.0,-0.010791366906474864
2015-06-08,134500.0,-0.021818181818181848
2015-06-09,135500.0,0.0074349442379182396
2015-06-10,134500.0,-0.0073800738007380184
2015-06-11,138000.0,0.026022304832713727
2015-06-12,136000.0,-0.01449275362318836
2015-06-15,136500.0,0.003676470588235281
2015-06-16,137000.0,0.00366300366300365
2015-06-17,136000.0,-0.007299270072992692
2015-06-18,131500.0,-0.03308823529411764
2015-06-19,130000.0,-0.011406844106463865
2015-06-22,132000.0,0.01538461538461533
2015-06-23,131000.0,-0.007575757575757569
2015-06-24,133000.0,0.01526717557251911
2015-06-25,132000.0,-0.007518796992481258
2015-06-26,135000.0,0.022727272727272707
2015-06-29,134500.0,-0.0037037037037036535
2015-06-30,136000.0,0.011152416356877248
2015-07-01,136500.0,0.003676470588235281
2015-07-02,135500.0,-0.0073260073260073
2015-07-03,135000.0,-0.0036900369003689537
2015-07-06,133000.0,-0.014814814814814836
2015-07-07,131500.0,-0.011278195488721776
2015-07-08,128000.0,-0.026615969581749055
2015-07-09,127000.0,-0.0078125
2015-07-10,124000.0,-0.023622047244094446
2015-07-13,125500.0,0.012096774193548487
2015-07-14,125500.0,0.0
2015-07-15,126500.0,0.007968127490039834
2015-07-16,127000.0,0.0039525691699604515
2015-07-17,123500.0,-0.027559055118110187
2015-07-20,124000.0,0.004048582995951344
2015-07-21,133000.0,0.07258064516129026
2015-07-22,131000.0,-0.015037593984962405
2015-07-23,138000.0,0.05343511450381677
2015-07-24,139000.0,0.007246376811594235
2015-07-27,145000.0,0.043165467625899234
2015-07-28,145000.0,0.0
2015-07-29,146000.0,0.006896551724137945
2015-07-30,150000.0,0.027397260273972712
2015-07-31,149000.0,-0.00666666666666671
2015-08-03,143500.0,-0.03691275167785235
2015-08-04,144000.0,0.0034843205574912606
2015-08-05,145500.0,0.01041666666666674
2015-08-06,139500.0,-0.04123711340206182
2015-08-07,138000.0,-0.010752688172043001
2015-08-10,140000.0,0.01449275362318847
2015-08-11,139000.0,-0.0071428571428571175
2015-08-12,146000.0,0.050359712230215736
2015-08-13,144500.0,-0.010273972602739767
2015-08-14,144500.0,0.0
2015-08-17,143500.0,-0.00692041522491349
2015-08-18,146500.0,0.020905923344947785
2015-08-19,148000.0,0.010238907849829282
2015-08-20,149000.0,0.006756756756756799
2015-08-21,146000.0,-0.020134228187919434
2015-08-24,142500.0,-0.023972602739726012
2015-08-25,147500.0,0.03508771929824572
2015-08-26,150000.0,0.016949152542372836
2015-08-27,147000.0,-0.020000000000000018
2015-08-28,144000.0,-0.020408163265306145
2015-08-31,149000.0,0.03472222222222232
2015-09-01,146500.0,-0.016778523489932917
2015-09-02,151500.0,0.03412969283276457
2015-09-03,152000.0,0.0033003300330032292
2015-09-04,150000.0,-0.013157894736842146
2015-09-07,152000.0,0.01333333333333342
2015-09-08,156500.0,0.02960526315789469
2015-09-09,155500.0,-0.006389776357827448
2015-09-10,156500.0,0.006430868167202508
2015-09-11,156000.0,-0.0031948881789137795
2015-09-14,154500.0,-0.009615384615384581
2015-09-15,156500.0,0.012944983818770295
2015-09-16,163000.0,0.04153354632587858
2015-09-17,163500.0,0.0030674846625766694
2015-09-18,165500.0,0.012232415902140747
2015-09-21,159000.0,-0.0392749244712991
2015-09-22,164000.0,0.03144654088050314
2015-09-23,157000.0,-0.04268292682926833
2015-09-24,158000.0,0.006369426751592355
2015-09-25,162000.0,0.025316455696202445
2015-09-30,164000.0,0.012345679012345734
2015-10-01,168000.0,0.024390243902439046
2015-10-02,167000.0,-0.005952380952380931
2015-10-05,164000.0,-0.017964071856287456
